2024-11-13 03:09:37.541 | INFO     | __main__:run:119 - Loaded +- 4 proxies per account


2024-11-13 03:09:40.553 | INFO     | __main__:process_multiple_farming:60 - Account: vanhoanganh.24@gmail.com | Sleeping for 8 seconds before starting...
2024-11-13 03:09:48.560 | INFO     | __main__:process_multiple_farming:64 - Active accounts: 1
2024-11-13 03:09:48.560 | ERROR    | __main__:process_multiple_farming:69 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-13 03:09:48.561 | INFO     | __main__:process_multiple_farming:74 - Active accounts: 0
2024-11-13 03:11:08.236 | INFO     | __main__:process_farming:43 - Account: vanhoanganh.24@gmail.com | Sleeping for 9 seconds before starting...
2024-11-13 03:11:17.249 | INFO     | __main__:process_farming:47 - Active accounts: 1
2024-11-13 03:11:17.249 | INFO     | core.bot:process_login:94 - Account: vanhoanganh.24@gmail.com | Logging in... 
2024-11-13 03:11:17.759 | INFO     | core.bot:process_login:97 - Account: vanhoanganh.24@gmail.com | Successfully logged in
2024-11-13 03:11:17.760 | ERROR    | core.bot:process_farming:70 - Account: vanhoanganh.24@gmail.com | Unknown exception during farming: [Errno 2] No such file or directory: './config/node_credentials.json' | Stopped
2024-11-13 03:11:17.760 | INFO     | __main__:process_farming:54 - Active accounts: 0
2024-11-13 03:11:43.101 | INFO     | __main__:process_farming:43 - Account: vanhoanganh.24@gmail.com | Sleeping for 9 seconds before starting...
2024-11-13 03:11:52.113 | INFO     | __main__:process_farming:47 - Active accounts: 1
2024-11-13 03:11:52.113 | INFO     | core.bot:process_login:94 - Account: vanhoanganh.24@gmail.com | Logging in... 
2024-11-13 03:11:52.963 | INFO     | core.bot:process_login:97 - Account: vanhoanganh.24@gmail.com | Successfully logged in
2024-11-13 03:11:52.965 | ERROR    | core.bot:process_farming:70 - Account: vanhoanganh.24@gmail.com | Unknown exception during farming: 'Bot' object has no attribute 'process_register_node' | Stopped
2024-11-13 03:11:52.965 | INFO     | __main__:process_farming:54 - Active accounts: 0
2024-11-13 03:13:28.595 | INFO     | __main__:run:119 - Loaded +- 4 proxies per account


2024-11-13 03:13:31.620 | INFO     | __main__:process_multiple_farming:60 - Account: vanhoanganh.24@gmail.com | Sleeping for 8 seconds before starting...
2024-11-13 03:13:39.616 | INFO     | __main__:process_multiple_farming:64 - Active accounts: 1
2024-11-13 03:13:39.617 | ERROR    | __main__:process_multiple_farming:69 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
2024-11-13 03:13:39.617 | INFO     | __main__:process_multiple_farming:74 - Active accounts: 0
2024-11-13 03:16:11.222 | INFO     | __main__:run:121 - Loaded +- 4 proxies per account


2024-11-13 03:16:14.229 | INFO     | __main__:process_multiple_farming:62 - Account: vanhoanganh.24@gmail.com | Sleeping for 5 seconds before starting...
2024-11-13 03:16:19.248 | INFO     | __main__:process_multiple_farming:66 - Active accounts: 1
2024-11-13 03:16:19.248 | ERROR    | __main__:process_multiple_farming:71 - Account: vanhoanganh.24@gmail.com | An error occurred: 'MultipleAccount' object has no attribute 'proxy' | Stopped farming
